Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Net migration,SM.POP.NETM,Central Europe and the Baltics,CEB,-132482,123701,-88917,-99535,-110911,-76183,-61261,-19843,-29918,-20678,5316792,-1438382
Net migration,SM.POP.NETM,Early-demographic dividend,EAR,1283931,-1113011,-2698481,-2549801,-3227808,-3441642,-3454072,-3253155,-2212227,-1622432,-1002880,-988952
Net migration,SM.POP.NETM,East Asia & Pacific,EAS,78472,-512945,325445,522034,539479,414719,205151,232677,180870,9227,-180381,-178933
Net migration,SM.POP.NETM,East Asia & Pacific (excluding high income),EAP,-229799,-721181,-472479,-234956,-77701,-220856,-456701,-470341,-114694,-323528,-538239,-536811
Net migration,SM.POP.NETM,East Asia & Pacific (IDA & IBRD countries),TEA,-229559,-718186,-469522,-231779,-74506,-217660,-453509,-467301,-113166,-322002,-536399,-534971
Net migration,SM.POP.NETM,Euro area,EMU,585770,501546,472321,662689,767714,869679,1013915,1090026,778873,808829,844095,311907
Net migration,SM.POP.NETM,Europe & Central Asia,ECS,353755,778557,1504844,1514027,1586627,1026421,1142576,1314636,1259036,1242327,422101,409205
Net migration,SM.POP.NETM,Europe & Central Asia (excluding high income),ECA,-480736,-597162,346768,86400,83806,-550839,-559236,-499675,-224890,-219256,-6575967,1243190
Net migration,SM.POP.NETM,Europe & Central Asia (IDA & IBRD countries),TEC,-339957,-30525,534556,367540,362637,-288666,-314596,-218512,80824,66551,-1357122,-65115
Net migration,SM.POP.NETM,European Union,EUU,516313,773989,526035,692113,788042,920207,1075197,1192639,872273,910755,5820541,-932653
Net migration,SM.POP.NETM,Fragile and conflict affected situations,FCS,-1527207,-1462769,-1763697,-2270270,-1476682,-2323259,-1882885,-1470507,-499924,-1269284,-6272447,2227475
Net migration,SM.POP.NETM,Heavily indebted poor countries (HIPC),HPC,-1673421,-1651682,-34392,-589781,370860,50447,-243350,-472979,60641,-537784,-518316,-520272
Net migration,SM.POP.NETM,High income,HIC,1811883,3427204,3665577,4300501,4331563,4628717,4678319,4404183,1118976,2434797,8608286,776639
Net migration,SM.POP.NETM,IBRD only,IBD,200789,-1082195,1715377,1009204,-497080,-834208,-1641911,-1656943,-195490,-812359,-2747421,-1476459
Net migration,SM.POP.NETM,IDA & IBRD total,IBT,-1709368,-2837319,-3390948,-3920998,-3881315,-4107687,-4083655,-3891454,-689611,-2014843,-3446541,-2147128
Net migration,SM.POP.NETM,IDA blend,IDB,33746,846368,-2155446,-2469015,-2470983,-1787873,-1647753,-1495696,-699442,-682175,-287968,-287206
Net migration,SM.POP.NETM,IDA only,IDX,-1943903,-2601492,-2950879,-2461187,-913252,-1485606,-793991,-738815,205321,-520309,-411152,-383463
Net migration,SM.POP.NETM,IDA total,IDA,-1910157,-1755124,-5106325,-4930202,-3384235,-3273479,-2441744,-2234511,-494121,-1202484,-699120,-670669
Net migration,SM.POP.NETM,Late-demographic dividend,LTE,-1633001,-252503,164919,174084,152609,494417,433752,45880,-128646,60109,5247944,-2428055
Net migration,SM.POP.NETM,Latin America & Caribbean,LCN,-635393,-933168,-494419,-424043,-139806,-281608,-338149,-424522,-163087,-273494,-175350,-161670
Net migration,SM.POP.NETM,Latin America & Caribbean (excluding high income),LAC,-580828,-887172,-417951,-339557,78679,377456,696616,380712,261813,141522,-426651,-434430
Net migration,SM.POP.NETM,Latin America & the Caribbean (IDA & IBRD countries),TLA,-611893,-885591,-418607,-349708,-63719,-208064,-335073,-388361,-150854,-260632,-188081,-177527
Net migration,SM.POP.NETM,Least developed countries: UN classification,LDC,-1705165,-2269068,-1134842,-1332653,-475522,-891749,-1047798,-926524,96382,-522065,-1007079,-1001888
Net migration,SM.POP.NETM,Low & middle income,LMY,-1819478,-3420409,-3608376,-4218313,-4043968,-3813247,-3325211,-3431626,-596701,-1912537,-8910596,-1102366
Net migration,SM.POP.NETM,Low income,LIC,-1546998,-1423135,-1894141,-1696194,-467727,-889608,98978,211518,272582,-343175,284413,311966
Net migration,SM.POP.NETM,Lower middle income,LMC,-367666,-837260,-2645764,-3562894,-2933199,-2794985,-3459029,-3358742,-969809,-1393606,-1988789,-2019645
Net migration,SM.POP.NETM,Middle East & North Africa,MEA,-99275,452463,401511,427751,-167117,-175273,398806,119982,-1699850,-367806,318630,308219
Net migration,SM.POP.NETM,Middle East & North Africa (excluding high income),MNA,743748,246824,124496,-240681,-543722,-693065,25497,-44693,-67916,-140967,266784,256373
Net migration,SM.POP.NETM,Middle East & North Africa (IDA & IBRD countries),TMN,744224,258325,151572,-217777,-520948,-667613,50634,-19956,-55547,-128598,271784,261373
Net migration,SM.POP.NETM,Middle income,MIC,-272480,-1997274,-1714235,-2522119,-3576241,-2923639,-3424189,-3643144,-869283,-1569362,-9195009,-1414332
Net migration,SM.POP.NETM,North America,NAC,1566949,1681226,1446330,1454272,1769865,1739131,1619076,1550648,871032,757052,1247126,1249446
Net migration,SM.POP.NETM,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Net migration,SM.POP.NETM,OECD members,OED,2211593,2489277,3672517,3531505,4167539,3998196,4044566,4085765,2540918,2433502,6095042,488694
Net migration,SM.POP.NETM,Other small states,OSS,53092,-1969,41575,36982,38026,46033,12934,-5863,-40766,-2224,-16750,-16897
Net migration,SM.POP.NETM,Pacific island small states,PSS,-20264,-18142,-23690,-23389,-22404,-22717,-22554,-22269,-11924,-11748,-8677,-8409
Net migration,SM.POP.NETM,Post-demographic dividend,PST,2622897,2522425,3068657,3241249,3458467,3525765,3589262,3675644,2267432,2195799,-3727154,3930203
Net migration,SM.POP.NETM,Pre-demographic dividend,PRE,-2221922,-1126792,-515267,-877524,-379760,-577864,-594290,-457552,57214,-647431,-542887,-538217
Net migration,SM.POP.NETM,Small states,SST,-6812,-34438,12468,6383,9139,17375,20725,-51320,-52671,-18243,-29227,-29106
Net migration,SM.POP.NETM,South Asia,SAS,-765584,-874181,-2708921,-3523806,-2552785,-2181786,-2409118,-2281362,-302152,-925916,-1176332,-1175806
Net migration,SM.POP.NETM,South Asia (IDA & IBRD),TSA,-765584,-874181,-2708921,-3523806,-2552785,-2181786,-2409118,-2281362,-302152,-925916,-1176332,-1175806
Net migration,SM.POP.NETM,Sub-Saharan Africa,SSF,-506599,-587161,-480026,34532,-1031994,-543898,-621993,-515962,-148716,-444246,-460391,-455082
Net migration,SM.POP.NETM,Sub-Saharan Africa (excluding high income),SSA,-506279,-587537,-480289,34287,-1032245,-544157,-622269,-516267,-148862,-444392,-460191,-454882
Net migration,SM.POP.NETM,Sub-Saharan Africa (IDA & IBRD countries),TSS,-506599,-587161,-480026,34532,-1031994,-543898,-621993,-515962,-148716,-444246,-460391,-455082
Net migration,SM.POP.NETM,Upper middle income,UMC,95186,-1160014,931529,1040775,-643042,-128654,34840,-284402,100526,-175756,-7206220,605313
Net migration,SM.POP.NETM,World,WLD,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 09/19/2024,,,,,,,,,,,,,,,
Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,License URL
SM.POP.NETM,CC BY-4.0,Net migration,"Net migration is the number of immigrants minus the number of emigrants, including citizens and noncitizens.","Net migration is the net total of migrants during the period, that is, the number of immigrants minus the number of emigrants, including both citizens and noncitizens.",United Nations Population Division. World Population Prospects: 2022 Revision.,Social Protection & Labor: Migration,Annual,Sum,"The United Nations Population Division provides data on net migration and migrant stock. Because data on migrant stock is difficult for countries to collect, the United Nations Population Division takes into account the past migration history of a country or area, the migration policy of a country, and the influx of refugees in recent periods when deriving estimates of net migration. The data to calculate these estimates come from a variety of sources, including border statistics, administrative records, surveys, and censuses.

When there is insufficient data, net migration is derived through the difference between the overall population growth rate and the rate of natural increase (the difference between the birth rate and the death rate) during the same period. Such calculations are usually made for intercensal periods. The estimates are also derived from the data on foreign-born population - people who have residence in one country but were born in another country. When data on the foreign-born population are not available, data on foreign population - that is, people who are citizens of a country other than the country in which they reside - are used as estimates.","Movement of people, most often through migration, is a significant part of global integration. Migrants contribute to the economies of both their host country and their country of origin. Yet reliable statistics on migration are difficult to collect and are often incomplete, making international comparisons a challenge.

Global migration patterns have become increasingly complex in modern times, involving not just refugees, but also millions of economic migrants. In most developed countries, refugees are admitted for resettlement and are routinely included in population counts by censuses or population registers.

But refugees and migrants, even if they often travel in the same way, are fundamentally different, and for that reason are treated very differently under modern international law. Migrants, especially economic migrants, choose to move in order to improve the future prospects of themselves and their families. Refugees have to move if they are to save their lives or preserve their freedom.","International migration is the component of population change most difficult to measure and estimate reliably. Thus, the quality and quantity of the data used in the estimation and projection of net migration varies considerably by country. Furthermore, the movement of people across international boundaries, which is very often a response to changing socio-economic, political and environmental forces, is subject to a great deal of volatility. Refugee movements, for instance, may involve large numbers of people moving across boundaries in a short time. For these reasons, projections of future international migration levels are the least robust part of current population projections and reflect mainly a continuation of recent levels and trends in net migration.",https://datacatalog.worldbank.org/public-licenses#cc-by
